Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
16,6.0,2024-11-20,24-154,ATL,@,GSW,L (-23),0,4:17,.000,.000,0.0,0.0,0.0,64.0,0.0,0.0,0.0,8.5,83,117,0.7,-1.8
17,7.0,2024-11-22,24-156,ATL,@,CHI,L (-14),0,2:51,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0,134,-1.8,-41.8
18,,2024-11-25,24-159,ATL,,DAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,,2024-11-27,24-161,ATL,@,CLE,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,8.0,2024-11-29,24-163,ATL,,CLE,W (+16),0,0:51,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,0.0,-6.4
21,9.0,2024-11-30,24-164,ATL,@,CHO,W (+3),0,12:12,,,9.6,14.8,12.6,10.4,0.0,0.0,,0.0,224,114,1.2,-6.9
22,,2024-12-02,24-166,ATL,,NOP,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2024-12-04,24-168,ATL,@,MIL,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,10.0,2024-12-06,24-170,ATL,,LAL,W (+2),0,14:18,.400,.400,8.2,51.7,29.5,26.1,0.0,5.8,0.0,14.6,119,113,5.4,-1.0
25,11.0,2024-12-08,24-172,ATL,,DEN,L (-30),0,20:05,.218,.167,4.3,7.2,5.4,18.6,0.0,0.0,22.5,17.0,60,138,-0.1,-14.6
26,12.0,2024-12-11,24-175,ATL,@,NYK,W (+8),0,8:13,.000,.000,19.8,12.2,16.4,13.6,0.0,0.0,0.0,9.4,76,105,0.6,-9.1
27,13.0,2024-12-14,24-178,ATL,@,MIL,L (-8),0,4:58,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-0.8,-14.3
28,14.0,2024-12-19,24-183,ATL,@,SAS,L (-7),0,19:42,.000,.000,0.0,16.5,8.5,17.5,6.9,4.6,33.3,12.5,34,102,1.5,-5.6
29,15.0,2024-12-21,24-185,ATL,,MEM,L (-16),1,19:46,.717,.625,0.0,0.0,0.0,21.3,2.2,0.0,29.1,14.5,113,120,4.1,-5.2
30,16.0,2024-12-23,24-187,ATL,,MIN,W (+13),0,16:42,.500,.500,0.0,18.0,10.6,8.0,0.0,0.0,50.0,10.7,60,111,0.6,-10.8
31,17.0,2024-12-26,24-190,ATL,,CHI,W (+8),0,11:02,.750,.750,0.0,10.6,5.4,41.8,0.0,7.9,33.3,11.1,140,128,4.8,7.2
32,18.0,2024-12-28,24-192,ATL,,MIA,W (+10),1,23:11,.509,.417,4.8,9.0,7.0,26.0,0.0,0.0,12.7,15.0,122,119,6.2,-3.7
33,19.0,2024-12-29,24-193,ATL,@,TOR,W (+29),1,29:41,.357,.357,3.2,11.8,7.0,11.3,4.5,2.7,12.5,10.3,93,98,7.3,-2.6
34,20.0,2025-01-01,24-196,ATL,@,DEN,L (-19),0,28:22,.563,.542,3.3,23.5,11.7,23.2,0.0,5.3,0.0,17.1,131,127,12.7,0.7
35,,2025-01-03,24-198,ATL,@,LAL,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,21.0,2025-01-04,24-199,ATL,@,LAC,L (-26),1,28:26,.563,.563,0.0,8.0,3.7,10.3,1.5,0.0,33.3,17.1,71,121,2.8,-9.0
37,22.0,2025-01-07,24-202,ATL,@,UTA,W (+3),1,22:14,1.083,1.083,0.0,19.2,9.5,0.0,2.1,0.0,0.0,11.3,199,117,11.4,3.8
38,23.0,2025-01-09,24-204,ATL,@,PHO,L (-8),1,26:23,.711,.688,0.0,15.2,7.4,31.4,1.9,0.0,10.6,16.4,141,132,12.3,3.8
39,24.0,2025-01-14,24-209,ATL,,PHO,W (+5),1,34:34,.833,.833,2.7,13.9,7.6,24.0,2.8,0.0,0.0,10.1,192,116,18.4,9.4
40,25.0,2025-01-15,24-210,ATL,@,CHI,W (+16),1,29:24,.506,.450,0.0,10.9,4.7,28.4,0.0,5.4,8.4,16.1,113,94,10.7,1.7
41,26.0,2025-01-18,24-213,ATL,@,BOS,W (+4),1,25:58,.438,.438,0.0,6.9,3.8,10.8,0.0,11.8,11.1,14.9,89,111,5.3,-0.9
42,27.0,2025-01-20,24-215,ATL,@,NYK,L (-9),1,33:10,.917,.917,0.0,7.8,3.6,16.9,1.5,0.0,14.3,8.5,166,124,11.8,5.7
43,28.0,2025-01-22,24-217,ATL,,DET,L (-10),1,22:36,.750,.750,0.0,5.4,2.2,19.5,0.0,0.0,0.0,9.9,155,116,7.6,3.4
44,29.0,2025-01-23,24-218,ATL,,TOR,L (-3),1,24:38,.650,.650,0.0,11.8,5.2,12.1,3.8,0.0,0.0,16.9,131,115,11.2,4.2
45,30.0,2025-01-25,24-220,ATL,,TOR,L (-23),1,35:19,.678,.692,0.0,6.2,2.9,38.3,3.7,4.5,0.0,16.9,136,104,21.6,13.9
46,31.0,2025-01-27,24-222,ATL,@,MIN,L (-8),1,34:26,.333,.333,2.7,10.9,6.8,26.8,1.4,0.0,40.0,12.0,69,103,2.5,-6.9
47,32.0,2025-01-28,24-223,ATL,,HOU,L (-4),1,36:09,.437,.429,0.0,17.9,7.9,9.0,2.6,2.7,6.3,18.5,88,97,9.0,0.5
48,33.0,2025-01-30,24-225,ATL,@,CLE,L (-22),0,20:49,.773,.833,4.7,0.0,2.7,0.0,0.0,0.0,20.5,10.0,117,144,1.6,-11.6
49,34.0,2025-02-01,24-227,ATL,@,IND,L (-5),0,15:09,.644,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,139,132,1.7,-10.0
50,35.0,2025-02-03,24-229,ATL,@,DET,W (+2),0,28:18,.722,.722,0.0,16.2,8.7,10.1,1.6,3.0,10.0,15.1,125,125,11.2,1.8
51,36.0,2025-02-05,24-231,ATL,,SAS,L (-1),0,18:53,.625,.625,6.7,21.2,14.8,11.8,0.0,0.0,42.9,15.0,84,120,2.9,-7.5
52,37.0,2025-02-07,24-233,ATL,,MIL,W (+5),0,31:02,.698,.786,3.3,29.0,16.3,12.0,0.0,0.0,11.3,12.4,127,113,11.0,0.4
53,38.0,2025-02-08,24-234,ATL,@,WAS,W (+14),0,31:50,.750,.750,0.0,25.7,12.8,25.8,1.4,5.3,0.0,10.4,161,100,17.3,10.6
54,39.0,2025-02-10,24-236,ATL,@,ORL,W (+6),0,18:15,.735,.700,0.0,6.6,3.5,34.9,2.7,0.0,0.0,13.5,162,109,9.0,8.3
55,,2025-02-12,24-238,ATL,@,NYK,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2025-02-20,24-246,ATL,,ORL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2025-02-23,24-249,ATL,,DET,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2025-02-24,24-250,ATL,,MIA,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2025-02-26,24-252,ATL,@,MIA,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2025-02-28,24-254,ATL,,OKC,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2025-03-03,24-257,ATL,@,MEM,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,2025-03-04,24-258,ATL,,MIL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,2025-03-06,24-260,ATL,,IND,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
